endTime,artistName,trackName,msPlayed
2023-11-07 16:02,Collester,Supernova - Extended Mix,95758
2023-11-08 14:46,What So Not,Mr Regular,10516
2023-11-08 17:47,Altijd Larstig & Rob Gasd'rop,Eleonora,114080
2023-11-09 16:17,What So Not,Mr Regular,164345
2023-11-09 16:20,Oliver Tree,When You're Around,132236
2023-11-09 16:22,Oliver Tree,Movement,163195
2023-11-09 16:25,Oliver Tree,Life Goes On,161803
2023-11-09 16:27,Oliver Tree,Sunshine,135854
2023-11-09 16:30,Oliver Tree,Cash Machine,176950
2023-11-09 16:32,Oliver Tree,Turn It Up (feat. Tommy Cash),129621
2023-11-09 16:34,Oliver Tree,Enemy,114312
2023-11-09 16:37,Oliver Tree,One & Only,137391
2023-11-09 16:40,KSI,Voices (feat. Oliver Tree),188575
2023-11-09 16:42,Oliver Tree,You're Not There,119203
2023-11-09 16:44,Oliver Tree,Let Me Down,111209
2023-11-09 16:46,Oliver Tree,Hurt,145147
2023-11-09 16:49,Oliver Tree,Placeholder,159818
2023-11-09 16:51,Oliver Tree,With You,163392
2023-11-09 16:54,Oliver Tree,Lies Came Out My Mouth,150678
2023-11-09 16:57,Oliver Tree,A-Okay,192722
2023-11-09 16:59,Oliver Tree,Fairweather Friends,94857
2023-11-09 17:01,Whethan,When I'm Down,164680
2023-11-09 17:04,Oliver Tree,Things We Used To Do,157600
2023-11-09 17:08,Oliver Tree,Miss You - Bonus Track,206000
2023-11-09 17:11,Getter,Forget It (feat. Oliver Tree),212631
2023-11-09 17:14,Oliver Tree,Wasteland,192756
2023-11-09 17:17,Oliver Tree,Fuck,154681
2023-11-09 17:19,Oliver Tree,Jerk,135020
2023-11-09 17:22,Oliver Tree,Bounce,166582
2023-11-09 17:26,Oliver Tree,All I Got,218703
2023-11-09 17:28,Yxngxr1,Downtown LA,113746
2023-11-09 17:30,EKKSTACY,im so happy,139146
2023-11-09 17:31,KXLLSWXTCH,SCATTERBRAIN,96709
2023-11-09 17:34,Twenty One Pilots,Levitate,145946
2023-11-09 17:36,DUSTY,SQUASH,123445
2023-11-09 17:39,BoyWithUke,Out Of Reach,164509
2023-11-09 17:41,Yxngxr1,PIGEONS,121457
2023-11-09 17:43,EKKSTACY,i just want to hide my face,132840
2023-11-09 17:46,Whethan,Clouds (feat. The Wombats),168062
2023-11-09 17:47,Lonely God,Marlboro Nights,68522
2023-11-09 17:49,Stellar,Bad Dream,147840
2023-11-09 17:52,BoyWithUke,Sick of U (with Oliver Tree),168676
