End Time,Artist Name,Track Name,Milliseconds Played
2024-04-10 14:30,Bob Marley & The Wailers,Jamming,211000
2024-04-10 14:34,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,243773
2024-04-10 14:38,Milky Chance,Ego,232213
2024-04-10 14:48,KYTES,Apricosa,146564
2024-04-10 14:54,Phuture Noize,Polestar,150472
2024-04-10 14:57,Phuture Noize,My Salvation,29091
2024-04-10 14:57,Phuture Noize,Wide Awake,147230
2024-04-10 15:02,Modjo,Lady - Hear Me Tonight,266830
2024-04-10 15:14,Milky Chance,Stolen Dance,1685
2024-04-10 15:14,Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),25053
2024-04-10 15:14,Daft Punk,Around the World,429533
2024-04-10 15:29,Daft Punk,One More Time,225160
2024-04-10 17:01,Gnarls Barkley,Crazy,20970
2024-04-10 17:01,Capital Cities,Safe And Sound,5675
2024-04-10 17:01,Daft Punk,One More Time,95241
2024-04-10 17:03,Breakbot,Baby I'm Yours,79950
2024-04-10 17:06,Daft Punk,Instant Crush (feat. Julian Casablancas),190422
2024-04-10 17:11,Route 94,My Love,259934
2024-04-10 17:15,Foster The People,Pumped Up Kicks,239600
2024-04-10 17:18,Gorillaz,Feel Good Inc.,222640
2024-04-10 17:22,Bob Sinclair,"World, Hold On",200400
2024-04-10 17:25,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
2024-04-10 17:26,Lykke Li,I Follow Rivers,34645
2024-04-10 17:26,Robin Schulz,Sugar (feat. Francesco Yates),2336
2024-04-10 17:30,Milky Chance,Flashed Junk Mind,262000
2024-04-10 17:33,Kungs,I Feel So Bad,206960
2024-04-10 17:34,Kylie Minogue,Can't Get You out of My Head,36132
2024-04-10 17:38,Capital Cities,Kangaroo Court,223186
2024-04-10 17:41,Capital Cities,My Name Is Mars,192452
2024-04-10 17:45,Gorillaz,DARE,244999
2024-04-10 17:50,Burak Yeter,Tuesday (feat. Danelle Sandoval),3504
2024-04-10 17:50,Tuxedo,Do It,258502
2024-04-10 17:54,M83,Midnight City,243960
2024-04-10 17:54,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),16399
2024-04-10 17:58,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,189413
2024-04-10 18:01,Galantis,Runaway (U & I),192028
2024-04-10 18:04,Tom Odell,Another Love - Zwette Edit,195106
2024-04-10 18:08,Disclosure,Latch,255631
2024-04-10 18:09,Duke Dumont,I Got U - Bondax Remix,25573
2024-04-10 18:12,Duke Dumont,Ocean Drive,206320
2024-04-10 18:15,Disclosure,You & Me - Flume Remix,146076
2024-04-10 18:18,Empire Of The Sun,Alive,204546
2024-04-10 18:18,Coldplay,Adventure of a Lifetime,5196
2024-04-10 18:18,Calvin Harris,Blame (feat. John Newman),13833
2024-04-10 18:22,Abhi The Nomad,Sex n' Drugs,217777
2024-04-10 18:25,NO CIGAR,1999,213891
2024-04-10 18:38,Labrinth,Formula,14951
2024-04-11 09:14,Bodylotion,Always Hardcore - Extended radio mix,10858
2024-04-11 09:14,Nova,Shit Go Boom,1813
2024-04-11 09:14,KETNO,I LIKE THE WAY YOU KISS ME - TECHNO VERSION,213
2024-04-11 09:17,Nova,Shit Go Boom,186003
2024-04-11 09:20,AY LYEN,I LIKE THE WAY YOU KISS ME - TECHNO,135000
2024-04-11 09:23,Remon Verhoeve,Ode To The Bouncer - Hard Techno Edit,197298
2024-04-11 09:23,VOIDWALKER,FULL MUTE FIST - TECHNO,14714
2024-04-11 09:25,Ardo,Winter (Classical Techno),144966
2024-04-11 09:29,Xina Mora,Psicópata,183366
2024-04-11 09:30,SANE,Not so Bad - Sped Up,108533
2024-04-11 09:31,uzumxki,hier kommt die sonne,28395
2024-04-11 09:32,gladde paling,rabo rekening,90833
2024-04-11 09:35,NALYRO,Est-ce que tu m'aimes? - Techno Mix,156000
2024-04-11 09:37,Gonzi,Donkers - Main Edit,120374
2024-04-11 09:39,FAST BASSTON,SAFE AND SOUND - (TECHNO SPED UP),103432
2024-04-11 10:03,Francis Mercier,Premier Gaou - Nitefreak Remix,732
2024-04-11 10:04,Labrinth,Formula,76964
2024-04-11 10:05,Verzetsstrijder,Bongo,30185
2024-04-11 10:08,Milky Chance,Down By The River,241052
2024-04-11 10:10,alt-J,Left Hand Free,173630
2024-04-11 10:14,Tinlicker,Because You Move Me,196375
2024-04-11 10:17,Stromae,Alors on danse - Radio Edit,206066
2024-04-11 10:20,J. Worra,Check Out,174138
2024-04-11 10:32,MGMT,Electric Feel,81891
2024-04-11 12:32,Thundercat,Funny Thing,34768
2024-04-11 12:35,Synapson,Djon maya maï (feat. Victor Démé),194706
2024-04-11 12:38,alt-J,Left Hand Free,173630
2024-04-11 12:42,Parcels,Overnight,219604
2024-04-11 12:45,Milky Chance,Don't Let Me Down,200391
2024-04-11 12:50,Modjo,Lady - Hear Me Tonight,307153
2024-04-11 12:54,Parov Stelar,The Sun - Klingande Remix Radio Edit,210375
2024-04-11 12:56,Flume,The Difference,139662
2024-04-11 12:59,Oliver Dollar,Pushing On - Radio Edit,163387
2024-04-11 13:01,Avicii,Addicted To You,148386
2024-04-11 13:04,Artemas,i like the way you kiss me,142514
2024-04-11 13:06,Lost Frequencies,Are You With Me,138013
2024-04-11 13:10,Tame Impala,The Less I Know The Better,216320
2024-04-11 13:12,Flume,Holdin On,154414
2024-04-11 13:15,Ofenbach,Be Mine,161322
2024-04-11 13:18,BUNT.,Clouds,158760
2024-04-11 13:21,ANOTR,Relax My Eyes,192150
2024-04-11 13:23,M83,My Tears Are Becoming a Sea,151826
2024-04-11 13:27,Tame Impala,Elephant,211226
2024-04-11 13:30,Kungs,Never Going Home,169946
2024-04-11 13:33,Bob Sinclar,World Hold On (Children of the Sky) - Radio Edit,199194
2024-04-11 13:37,Stardust,Music Sounds Better With You - Radio Edit,260906
2024-04-11 13:40,Majestic,Rasputin,186209
2024-04-11 13:43,La Roux,Bulletproof,162213
2024-04-11 13:48,Milky Chance,Stolen Dance,313684
